epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.669,1.59423,3.76943,1.08683,0.00095,0.28636,0.00587,0.00436,1.55893,4.94929,1.04037,0.000654545,0.000654545,0.000654545
2,187.137,1.52705,2.26293,1.04302,0.93624,0.21364,0.42934,0.23537,1.56112,3.26218,1.0542,0.00129505,0.00129505,0.00129505
3,290.841,1.50669,1.905,1.02185,0.80713,0.37727,0.40976,0.2255,1.53348,1.58153,1.04815,0.00190916,0.00190916,0.00190916
4,408.301,1.52951,1.54502,1.05326,0.81456,0.51818,0.5658,0.32996,1.43625,1.62311,1.02445,0.0018812,0.0018812,0.0018812
5,515.125,1.36235,1.22545,0.99654,0.86066,0.56364,0.61321,0.3699,1.40771,1.21907,1.01108,0.0018416,0.0018416,0.0018416
6,625.786,1.36968,1.03561,1.01975,0.66439,0.23636,0.22696,0.12622,1.3814,1.07534,0.99082,0.001802,0.001802,0.001802
7,752.432,1.32849,0.99992,1.01487,0.67442,0.32955,0.32594,0.19294,1.41383,1.32063,1.00312,0.0017624,0.0017624,0.0017624
8,855.098,1.37617,1.0141,0.9915,0.78957,0.49545,0.58046,0.3379,1.30225,1.09018,0.94701,0.0017228,0.0017228,0.0017228
9,920.829,1.32464,0.88626,0.9895,0.96235,0.81323,0.90242,0.55302,1.31877,0.85064,0.97077,0.0016832,0.0016832,0.0016832
10,986.627,1.2511,0.82639,0.96124,0.89977,0.84091,0.90282,0.54252,1.34465,0.88389,0.96859,0.0016436,0.0016436,0.0016436
11,1046.12,1.24245,0.79771,0.96732,0.90443,0.86364,0.90012,0.54076,1.30623,0.80896,0.95339,0.001604,0.001604,0.001604
12,1117.6,1.29796,0.83808,0.97869,0.91027,0.82999,0.88751,0.49765,1.36566,1.06617,0.97593,0.0015644,0.0015644,0.0015644
13,1175.44,1.23006,0.78066,0.96233,0.95384,0.82273,0.91704,0.57755,1.28705,0.82736,0.95666,0.0015248,0.0015248,0.0015248
14,1234.37,1.21157,0.75984,0.94956,0.9501,0.86538,0.91911,0.55099,1.31049,0.76707,0.96274,0.0014852,0.0014852,0.0014852
15,1289,1.17977,0.72339,0.93643,0.95664,0.90455,0.94328,0.57322,1.33631,0.69597,0.96868,0.0014456,0.0014456,0.0014456
16,1346.05,1.18302,0.73406,0.94661,0.93361,0.85,0.93297,0.60708,1.17799,0.65581,0.92763,0.001406,0.001406,0.001406
17,1405.36,1.20465,0.7282,0.96136,0.96809,0.89091,0.94691,0.59211,1.22252,0.73214,0.92934,0.0013664,0.0013664,0.0013664
18,1461.47,1.13673,0.69602,0.94273,0.97458,0.87151,0.94292,0.62328,1.22397,0.64649,0.9403,0.0013268,0.0013268,0.0013268
19,1515.07,1.13075,0.64954,0.92003,0.91718,0.85573,0.92209,0.55668,1.26614,0.75923,0.9374,0.0012872,0.0012872,0.0012872
