epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.791,1.26234,2.55676,0.94646,0.80658,0.72928,0.80492,0.53291,1.163,1.04796,0.89473,0.000663522,0.000663522,0.000663522
2,719.333,1.2516,1.1181,0.93741,0.73384,0.65312,0.74205,0.46792,1.27676,1.54256,0.90062,0.00130385,0.00130385,0.00130385
3,1077.4,1.19765,1.01616,0.93191,0.78329,0.71828,0.8054,0.51828,1.21459,1.13492,0.90115,0.00191778,0.00191778,0.00191778
4,1396.61,1.19651,0.99624,0.93553,0.82144,0.76065,0.83597,0.5557,1.13418,0.99304,0.87136,0.0018812,0.0018812,0.0018812
5,1718.41,1.172,0.91337,0.92041,0.82633,0.8124,0.87035,0.5656,1.13969,0.92184,0.8848,0.0018416,0.0018416,0.0018416
6,2041.15,1.12582,0.86752,0.91414,0.81334,0.79491,0.84667,0.56535,1.10887,0.9021,0.88113,0.001802,0.001802,0.001802
7,2364.39,1.07938,0.79545,0.90101,0.81873,0.70371,0.80347,0.52612,1.03008,1.07489,0.86118,0.0017624,0.0017624,0.0017624
8,2682.7,1.05737,0.78102,0.90554,0.81847,0.80999,0.8715,0.60305,1.06329,0.84165,0.86354,0.0017228,0.0017228,0.0017228
9,2996.6,1.0613,0.79444,0.90166,0.87642,0.81876,0.88166,0.61217,1.05218,0.78934,0.85993,0.0016832,0.0016832,0.0016832
10,3308.53,1.02091,0.72694,0.89312,0.86486,0.85464,0.89487,0.61484,0.97658,0.82727,0.85467,0.0016436,0.0016436,0.0016436
11,3650.88,1.03029,0.74111,0.89129,0.83485,0.83583,0.88661,0.61615,1.0014,0.74965,0.85764,0.001604,0.001604,0.001604
12,3958.54,0.99352,0.72167,0.88781,0.87158,0.84159,0.91292,0.6469,0.97346,0.73826,0.85449,0.0015644,0.0015644,0.0015644
13,4271.31,0.97369,0.66777,0.88014,0.86576,0.86486,0.91677,0.62142,0.99141,0.70607,0.85226,0.0015248,0.0015248,0.0015248
14,4576.67,0.9532,0.65366,0.87439,0.84968,0.88871,0.92141,0.63651,1.00749,0.70891,0.85309,0.0014852,0.0014852,0.0014852
15,4884.02,0.94266,0.63557,0.88204,0.84423,0.87026,0.9088,0.64743,0.9589,0.70288,0.84602,0.0014456,0.0014456,0.0014456
16,5197.17,0.91701,0.6062,0.8642,0.87035,0.85851,0.9247,0.6719,0.92419,0.69187,0.84102,0.001406,0.001406,0.001406
17,5510.47,0.91267,0.62119,0.86446,0.83762,0.87758,0.9141,0.66464,0.91909,0.68354,0.83897,0.0013664,0.0013664,0.0013664
18,5829.53,0.92241,0.60186,0.86467,0.8386,0.8903,0.91657,0.66088,0.90686,0.67233,0.83957,0.0013268,0.0013268,0.0013268
19,6146.66,0.88431,0.58899,0.86753,0.87751,0.86557,0.92632,0.68771,0.87828,0.63084,0.83028,0.0012872,0.0012872,0.0012872
20,6460.48,0.89903,0.58868,0.86409,0.87404,0.88259,0.93614,0.68409,0.90255,0.61155,0.83331,0.0012476,0.0012476,0.0012476
21,6778.29,0.8792,0.57466,0.86361,0.85857,0.88789,0.92844,0.67717,0.90689,0.63388,0.83485,0.001208,0.001208,0.001208
