epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,717.413,0.70332,0.49189,0.8261,0.86935,0.8674,0.93249,0.74452,0.71851,0.56082,0.8263,0.000665211,0.000665211,0.000665211
2,1383.99,0.77671,0.58809,0.83539,0.85971,0.8628,0.92061,0.7194,0.75408,0.60308,0.82469,0.00130551,0.00130551,0.00130551
3,2037.9,0.82745,0.63214,0.84077,0.82623,0.89595,0.92599,0.70886,0.80414,0.60848,0.83212,0.0019194,0.0019194,0.0019194
4,2689.96,0.81602,0.63375,0.8368,0.86537,0.85819,0.91952,0.67933,0.82848,0.63004,0.82851,0.0018812,0.0018812,0.0018812
5,3333.48,0.80527,0.62111,0.84352,0.85138,0.84899,0.91723,0.72,0.76806,0.62576,0.82732,0.0018416,0.0018416,0.0018416
6,3979.1,0.77667,0.57999,0.8321,0.8658,0.88519,0.92935,0.72432,0.76368,0.57567,0.8228,0.001802,0.001802,0.001802
7,4625.03,0.78402,0.57586,0.83567,0.84902,0.87293,0.92535,0.68999,0.79813,0.60277,0.8278,0.0017624,0.0017624,0.0017624
8,5271.35,0.77477,0.5526,0.83347,0.86974,0.87385,0.92591,0.7201,0.76685,0.56168,0.82116,0.0017228,0.0017228,0.0017228
9,5915.86,0.76928,0.54807,0.83184,0.88053,0.86866,0.9317,0.7114,0.77014,0.55332,0.82076,0.0016832,0.0016832,0.0016832
10,6562.25,0.75145,0.54515,0.83291,0.85352,0.90139,0.93585,0.74399,0.72118,0.56869,0.82065,0.0016436,0.0016436,0.0016436
11,7207.27,0.73623,0.52613,0.82843,0.86926,0.88029,0.93491,0.73685,0.73631,0.57067,0.8226,0.001604,0.001604,0.001604
12,7854.18,0.73513,0.53002,0.82769,0.85569,0.89543,0.93246,0.73086,0.71809,0.57259,0.82358,0.0015644,0.0015644,0.0015644
13,8499.2,0.71385,0.50075,0.82521,0.86279,0.90905,0.93586,0.73789,0.71467,0.54715,0.82008,0.0015248,0.0015248,0.0015248
14,9142.1,0.72164,0.50181,0.82654,0.87693,0.9054,0.94158,0.75411,0.69504,0.53135,0.81815,0.0014852,0.0014852,0.0014852
15,9786.4,0.70852,0.49391,0.8234,0.86753,0.91344,0.94281,0.73757,0.73238,0.52815,0.81865,0.0014456,0.0014456,0.0014456
16,10430,0.70171,0.50515,0.81717,0.88223,0.88983,0.94528,0.74679,0.70408,0.52238,0.8181,0.001406,0.001406,0.001406
17,11073.1,0.68394,0.47375,0.81821,0.85135,0.91989,0.94057,0.74958,0.69422,0.53624,0.81467,0.0013664,0.0013664,0.0013664
18,11714,0.69704,0.48352,0.82397,0.86504,0.9089,0.94052,0.75607,0.70748,0.51629,0.81927,0.0013268,0.0013268,0.0013268
19,12357.1,0.68108,0.47793,0.82114,0.88356,0.90135,0.94481,0.76473,0.67256,0.50398,0.81472,0.0012872,0.0012872,0.0012872
20,13000.8,0.6783,0.45979,0.8212,0.88343,0.90331,0.94609,0.75985,0.6782,0.48901,0.8141,0.0012476,0.0012476,0.0012476
21,13643.6,0.67398,0.45659,0.81831,0.87188,0.90863,0.9492,0.7658,0.68282,0.49401,0.81364,0.001208,0.001208,0.001208
22,14285.8,0.66213,0.45941,0.81245,0.89505,0.88739,0.94779,0.77772,0.64762,0.50303,0.80997,0.0011684,0.0011684,0.0011684
23,14924.9,0.64563,0.43343,0.81587,0.86931,0.91529,0.94497,0.76919,0.66691,0.49644,0.81262,0.0011288,0.0011288,0.0011288
24,15566.8,0.64391,0.43346,0.81404,0.87108,0.91457,0.9459,0.76839,0.65707,0.49215,0.81585,0.0010892,0.0010892,0.0010892
25,16206.2,0.64219,0.43116,0.81217,0.89578,0.8895,0.95438,0.77552,0.6564,0.47429,0.81331,0.0010496,0.0010496,0.0010496
26,16847.2,0.64105,0.42553,0.81537,0.86822,0.92215,0.95146,0.77641,0.66196,0.47215,0.81396,0.00101,0.00101,0.00101
27,17491.9,0.63037,0.41277,0.81217,0.87959,0.90804,0.95091,0.78125,0.64155,0.46889,0.80835,0.0009704,0.0009704,0.0009704
28,18136.8,0.63225,0.41177,0.81084,0.87735,0.91713,0.95211,0.77885,0.6524,0.46329,0.81204,0.0009308,0.0009308,0.0009308
29,18778,0.62679,0.41399,0.81031,0.91971,0.8895,0.95536,0.78716,0.63069,0.45352,0.80817,0.0008912,0.0008912,0.0008912
30,19421.4,0.61541,0.40645,0.81166,0.90581,0.90328,0.95476,0.78632,0.62587,0.45284,0.8073,0.0008516,0.0008516,0.0008516
31,20066.3,0.60267,0.39873,0.80491,0.8774,0.92449,0.9508,0.78139,0.63329,0.44996,0.80677,0.000812,0.000812,0.000812
32,20706.1,0.59613,0.38878,0.80398,0.89551,0.91989,0.95539,0.78693,0.63358,0.44521,0.80857,0.0007724,0.0007724,0.0007724
33,21349.4,0.59051,0.3766,0.80959,0.87358,0.93537,0.95135,0.78591,0.63543,0.44351,0.80792,0.0007328,0.0007328,0.0007328
34,21991.6,0.59593,0.38197,0.8085,0.89584,0.91869,0.95369,0.78615,0.64467,0.44227,0.81002,0.0006932,0.0006932,0.0006932
35,22635.4,0.59748,0.38646,0.80721,0.8846,0.9247,0.95127,0.78777,0.62371,0.44443,0.80566,0.0006536,0.0006536,0.0006536
